Date,Open,High,Low,Close,Volume
01/31/2023,"240.00","241.00","235.00","238.00","2,223,840"
01/30/2023,"242.00","244.40","240.00","240.00","598,600"
01/27/2023,"241.40","245.00","240.40","241.40","769,230"
01/26/2023,"244.00","244.40","241.40","241.40","217,300"
01/25/2023,"245.60","247.00","243.00","244.00","1,337,070"
01/24/2023,"242.80","247.60","242.80","246.00","507,690"
01/23/2023,"245.00","246.00","241.20","242.60","684,260"
01/20/2023,"248.00","248.00","244.40","245.00","1,032,420"
01/19/2023,"249.80","250.00","247.00","248.00","1,340,540"
01/18/2023,"250.00","252.00","248.20","250.00","868,660"
01/17/2023,"249.80","252.00","246.00","252.00","1,194,170"
01/16/2023,"245.20","252.00","245.20","248.00","1,311,490"
01/13/2023,"243.20","246.80","242.40","245.00","1,754,470"
01/12/2023,"240.20","243.00","239.60","242.00","1,389,440"
01/11/2023,"241.00","242.00","235.00","241.60","1,151,060"
01/10/2023,"246.00","246.00","241.00","241.00","772,810"
01/09/2023,"247.00","247.00","240.20","242.00","661,600"
01/06/2023,"240.60","244.60","240.40","242.00","984,230"
01/05/2023,"244.00","248.00","238.00","248.00","567,120"
01/04/2023,"237.20","244.00","237.20","242.80","686,460"
01/03/2023,"230.00","237.00","230.00","236.00","213,720"
12/29/2022,"232.00","232.00","229.40","230.00","500,210"
12/28/2022,"229.00","232.60","229.00","230.00","659,040"
12/27/2022,"231.00","233.00","227.00","229.00","792,850"
12/23/2022,"230.60","235.00","230.00","230.00","618,820"
12/22/2022,"234.00","239.40","230.20","230.20","557,630"
12/21/2022,"230.80","235.00","230.00","230.00","601,430"
12/20/2022,"235.00","235.00","229.60","230.80","686,650"
12/19/2022,"230.00","237.80","229.00","235.00","849,110"
12/16/2022,"233.00","235.00","230.20","231.00","1,175,180"
12/15/2022,"233.80","238.00","231.80","233.00","689,560"
12/14/2022,"236.00","240.60","233.40","233.80","1,182,350"
12/13/2022,"244.00","246.00","234.00","235.00","1,773,180"
12/12/2022,"237.00","245.80","237.00","242.00","696,670"
12/09/2022,"237.60","239.80","232.00","236.80","1,102,240"
12/07/2022,"246.40","246.40","236.60","237.00","860,660"
12/06/2022,"239.80","246.80","236.40","246.60","1,212,010"
12/05/2022,"237.00","243.80","236.40","236.40","858,880"
12/02/2022,"242.00","246.60","237.00","237.00","797,740"
12/01/2022,"248.40","252.40","239.80","240.60","2,420,790"
11/29/2022,"249.00","249.00","241.60","245.00","4,928,980"
11/28/2022,"252.00","255.20","248.80","249.00","974,870"
11/25/2022,"253.60","255.60","250.40","252.00","862,060"
11/24/2022,"256.00","259.00","253.60","254.00","859,180"
11/23/2022,"257.00","259.60","252.40","256.00","1,102,930"
11/22/2022,"251.80","259.00","250.20","256.00","1,883,950"
11/21/2022,"244.00","252.00","244.00","252.00","2,291,280"
